S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
78,Uttar Pradesh,SITAPUR,2014,Rabi       ,Wheat,208675,372484,1
79,Punjab,MUKTSAR,2014,Rabi       ,Wheat,208000,907000,1
80,Maharashtra,WARDHA,2014,Kharif     ,Cotton(lint),207700,184600,1
81,Andhra Pradesh,GUNTUR,2014,Kharif     ,Cotton(lint),206374,1075856,1
82,Punjab,FAZILKA,2014,Rabi       ,Wheat,206000,913000,1
83,Maharashtra,SOLAPUR,2014,Whole Year ,Sugarcane,205500,20049700,1
84,Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Rice,205485,434806,1
85,Uttar Pradesh,SHAHJAHANPUR,2014,Kharif     ,Rice,203946,572069,1
86,Uttar Pradesh,AZAMGARH,2014,Kharif     ,Rice,202341,400028,1
87,Chhattisgarh,DHAMTARI,2014,Kharif     ,Rice,198148,620402,1
88,Bihar,ROHTAS,2014,Winter     ,Rice,196508,820981,1
89,Maharashtra,AMRAVATI,2014,Kharif     ,Cotton(lint),196500,196200,1
90,West Bengal,MEDINIPUR WEST,2014,Summer     ,Rice,195960,580442,1
91,Uttar Pradesh,BULANDSHAHR,2014,Rabi       ,Wheat,195559,534072,1
92,Uttar Pradesh,MATHURA,2014,Rabi       ,Wheat,194214,407849,1
93,Maharashtra,SANGLI,2014,Rabi       ,Jowar,193200,130000,1
94,Uttar Pradesh,BARABANKI,2014,Kharif     ,Rice,191884,529600,1
95,Maharashtra,AURANGABAD,2014,Kharif     ,Maize,191700,175800,1
96,Uttar Pradesh,GORAKHPUR,2014,Rabi       ,Wheat,190247,331410,1
97,West Bengal,HOOGHLY,2014,Winter     ,Rice,190221,580845,1
98,Punjab,FIROZEPUR,2014,Kharif     ,Rice,189000,733000,1
99,Maharashtra,BHANDARA,2014,Kharif     ,Rice,188600,305400,1
100,Punjab,AMRITSAR,2014,Rabi       ,Wheat,188000,736000,1
101,Punjab,FIROZEPUR,2014,Rabi       ,Wheat,188000,877000,1
102,Punjab,TARN TARAN,2014,Rabi       ,Wheat,188000,777000,1
103,Karnataka,BIJAPUR,2014,Kharif     ,Arhar/Tur,187324,114783,1
